check_id,dimension_id,maker,model,generation,trim,drive,transmission,status,checked_values,differences,source,note
"101","4870","ダイハツ","ムーヴ","新型 (2025-)","X","2WD","CVT","照合項目一致","全長mm=3395 / 全幅mm=1475 / 全高mm=1655 / 車両重量kg=860","","https://www.daihatsu.co.jp/lineup/move/pdf/specifications.pdf","公式PDFを画像表示して確認。4WD全高は1670mm。"
"102","4871","ダイハツ","ムーヴ","新型 (2025-)","X","4WD","CVT","誤り確認","全長mm=3395 / 全幅mm=1475 / 全高mm=1670 / 車両重量kg=910","全高mm: 1655 -> 1670","https://www.daihatsu.co.jp/lineup/move/pdf/specifications.pdf","公式PDFを画像表示して確認。4WD全高は1670mm。"
"103","5026","スバル","インプレッサ","GU系 (2023-)","ST FF","2WD","CVT","照合項目一致","全長mm=4475 / 全幅mm=1780 / 全高mm=1450 / 車両重量kg=1380","","https://www.subaru.co.jp/pdf/news/2023_0420_1_2023-04-19-132902.pdf","STの1450mmは発表資料と一致するがアンテナを倒した条件付き。アンテナ仕様・年次改良を明示する必要あり。"
"104","5027","スバル","インプレッサ","GU系 (2023-)","ST AWD","4WD","CVT","照合項目一致","全長mm=4475 / 全幅mm=1780 / 全高mm=1450 / 車両重量kg=1420","","https://www.subaru.co.jp/pdf/news/2023_0420_1_2023-04-19-132902.pdf","STの1450mmは発表資料と一致するがアンテナを倒した条件付き。アンテナ仕様・年次改良を明示する必要あり。"
"105","5028","スバル","インプレッサ","GU系 (2023-)","ST-G e-BOXER AWD","4WD","CVT","照合項目一致","全長mm=4475 / 全幅mm=1780 / 全高mm=1515 / 車両重量kg=1570","","https://www.subaru.co.jp/pdf/news/2023_0420_1_2023-04-19-132902.pdf","STの1450mmは発表資料と一致するがアンテナを倒した条件付き。アンテナ仕様・年次改良を明示する必要あり。"
"106","5029","スバル","インプレッサ","GU系 (2023-)","ST-H e-BOXER FF","2WD","CVT","照合項目一致","全長mm=4475 / 全幅mm=1780 / 全高mm=1515 / 車両重量kg=1540","","https://www.subaru.co.jp/pdf/news/2023_0420_1_2023-04-19-132902.pdf","STの1450mmは発表資料と一致するがアンテナを倒した条件付き。アンテナ仕様・年次改良を明示する必要あり。"
"107","4620","スズキ","ジムニーシエラ","JB74W (2018-)","JC","4WD","4AT","照合項目一致","全長mm=3550 / 全幅mm=1645 / 全高mm=1730 / 車両重量kg=1090","","https://www.suzuki.co.jp/suzuki_digital_library/pdf/1_auto/jimnysmall/195.pdf","2018年発売時、アンテナ折り畳み状態。現年式の重量とは区別。"
"108","4621","スズキ","ジムニーシエラ","JB74W (2018-)","JC","4WD","5MT","照合項目一致","全長mm=3550 / 全幅mm=1645 / 全高mm=1730 / 車両重量kg=1070","","https://www.suzuki.co.jp/suzuki_digital_library/pdf/1_auto/jimnysmall/195.pdf","2018年発売時、アンテナ折り畳み状態。現年式の重量とは区別。"
"109","4528","トヨタ","ヴェルファイア","40系 (2023-)","Z Premier 2.4L ターボ","2WD","8AT","照合項目一致","全長mm=4995 / 全幅mm=1850 / 全高mm=1945 / 車両重量kg=2180","","https://toyota.jp/pages/contents/carlineup/archive/vellfire/2023-06/pdf/vellfire_main_s_202306_202411.pdf","2023年標準19インチ。17インチ仕様は全高1935mm、装備により重量差あり。"
"110","4529","トヨタ","ヴェルファイア","40系 (2023-)","Z Premier 2.4L ターボ","4WD","8AT","照合項目一致","全長mm=4995 / 全幅mm=1850 / 全高mm=1945 / 車両重量kg=2240","","https://toyota.jp/pages/contents/carlineup/archive/vellfire/2023-06/pdf/vellfire_main_s_202306_202411.pdf","2023年標準19インチ。17インチ仕様は全高1935mm、装備により重量差あり。"
"111","4530","トヨタ","ヴェルファイア","40系 (2023-)","Executive Lounge 2.5L HV","2WD","CVT","照合項目一致","全長mm=4995 / 全幅mm=1850 / 全高mm=1945 / 車両重量kg=2250","","https://toyota.jp/pages/contents/carlineup/archive/vellfire/2023-06/pdf/vellfire_main_s_202306_202411.pdf","2023年標準19インチ。17インチ仕様は全高1935mm、装備により重量差あり。"
"112","4531","トヨタ","ヴェルファイア","40系 (2023-)","Executive Lounge 2.5L HV","4WD","CVT","照合項目一致","全長mm=4995 / 全幅mm=1850 / 全高mm=1945 / 車両重量kg=2310","","https://toyota.jp/pages/contents/carlineup/archive/vellfire/2023-06/pdf/vellfire_main_s_202306_202411.pdf","2023年標準19インチ。17インチ仕様は全高1935mm、装備により重量差あり。"
"113","4364","トヨタ","ヤリス","初代 (2020-)","X 1.0L","2WD","CVT","照合項目一致","全長mm=3940 / 全幅mm=1695 / 全高mm=1500","","https://toyota.jp/pages/contents/yaris/001_p_001/pdf/spec/yaris_spec_201912.pdf","2020年発売時。4WD/E-Fourの高さを区別。GR SPORTは国内グレードの特定が別途必要。"
"114","4365","トヨタ","ヤリス","初代 (2020-)","G 1.5L","2WD","CVT","照合項目一致","全長mm=3940 / 全幅mm=1695 / 全高mm=1500","","https://toyota.jp/pages/contents/yaris/001_p_001/pdf/spec/yaris_spec_201912.pdf","2020年発売時。4WD/E-Fourの高さを区別。GR SPORTは国内グレードの特定が別途必要。"
"115","4366","トヨタ","ヤリス","初代 (2020-)","G 1.5L","4WD","CVT","誤り確認","全長mm=3940 / 全幅mm=1695 / 全高mm=1515","全高mm: 1500 -> 1515","https://toyota.jp/pages/contents/yaris/001_p_001/pdf/spec/yaris_spec_201912.pdf","2020年発売時。4WD/E-Fourの高さを区別。GR SPORTは国内グレードの特定が別途必要。"
"116","4367","トヨタ","ヤリス","初代 (2020-)","Z 1.5L","2WD","CVT","照合項目一致","全長mm=3940 / 全幅mm=1695 / 全高mm=1500","","https://toyota.jp/pages/contents/yaris/001_p_001/pdf/spec/yaris_spec_201912.pdf","2020年発売時。4WD/E-Fourの高さを区別。GR SPORTは国内グレードの特定が別途必要。"
"117","4368","トヨタ","ヤリス","初代 (2020-)","Z HV","2WD","CVT","照合項目一致","全長mm=3940 / 全幅mm=1695 / 全高mm=1500","","https://toyota.jp/pages/contents/yaris/001_p_001/pdf/spec/yaris_spec_201912.pdf","2020年発売時。4WD/E-Fourの高さを区別。GR SPORTは国内グレードの特定が別途必要。"
"118","4369","トヨタ","ヤリス","初代 (2020-)","Z HV","4WD","CVT","誤り確認","全長mm=3940 / 全幅mm=1695 / 全高mm=1515","全高mm: 1500 -> 1515","https://toyota.jp/pages/contents/yaris/001_p_001/pdf/spec/yaris_spec_201912.pdf","2020年発売時。4WD/E-Fourの高さを区別。GR SPORTは国内グレードの特定が別途必要。"
"119","4347","トヨタ","ハリアー","80系 (2020-)","S 2.0L","2WD","CVT","照合項目一致","全長mm=4740 / 全幅mm=1855 / 全高mm=1660","","https://toyota.jp/pages/contents/harrier/004_p_001/pdf/harrier_spec_202310.pdf","Web取得内容で寸法照合。PDF直接ダウンロードは404のため保存なし。重量は未照合。"
"120","4348","トヨタ","ハリアー","80系 (2020-)","G 2.0L","2WD","CVT","照合項目一致","全長mm=4740 / 全幅mm=1855 / 全高mm=1660","","https://toyota.jp/pages/contents/harrier/004_p_001/pdf/harrier_spec_202310.pdf","Web取得内容で寸法照合。PDF直接ダウンロードは404のため保存なし。重量は未照合。"
"121","4349","トヨタ","ハリアー","80系 (2020-)","G 2.0L","4WD","CVT","照合項目一致","全長mm=4740 / 全幅mm=1855 / 全高mm=1660","","https://toyota.jp/pages/contents/harrier/004_p_001/pdf/harrier_spec_202310.pdf","Web取得内容で寸法照合。PDF直接ダウンロードは404のため保存なし。重量は未照合。"
"122","4350","トヨタ","ハリアー","80系 (2020-)","Z 2.0L","2WD","CVT","照合項目一致","全長mm=4740 / 全幅mm=1855 / 全高mm=1660","","https://toyota.jp/pages/contents/harrier/004_p_001/pdf/harrier_spec_202310.pdf","Web取得内容で寸法照合。PDF直接ダウンロードは404のため保存なし。重量は未照合。"
"123","4351","トヨタ","ハリアー","80系 (2020-)","Z Leather Package 2.0L","4WD","CVT","照合項目一致","全長mm=4740 / 全幅mm=1855 / 全高mm=1660","","https://toyota.jp/pages/contents/harrier/004_p_001/pdf/harrier_spec_202310.pdf","Web取得内容で寸法照合。PDF直接ダウンロードは404のため保存なし。重量は未照合。"
"124","4352","トヨタ","ハリアー","80系 (2020-)","G HV","2WD","CVT","照合項目一致","全長mm=4740 / 全幅mm=1855 / 全高mm=1660","","https://toyota.jp/pages/contents/harrier/004_p_001/pdf/harrier_spec_202310.pdf","Web取得内容で寸法照合。PDF直接ダウンロードは404のため保存なし。重量は未照合。"
"125","4353","トヨタ","ハリアー","80系 (2020-)","G HV","4WD","CVT","照合項目一致","全長mm=4740 / 全幅mm=1855 / 全高mm=1660","","https://toyota.jp/pages/contents/harrier/004_p_001/pdf/harrier_spec_202310.pdf","Web取得内容で寸法照合。PDF直接ダウンロードは404のため保存なし。重量は未照合。"
"126","4354","トヨタ","ハリアー","80系 (2020-)","Z HV","2WD","CVT","照合項目一致","全長mm=4740 / 全幅mm=1855 / 全高mm=1660","","https://toyota.jp/pages/contents/harrier/004_p_001/pdf/harrier_spec_202310.pdf","Web取得内容で寸法照合。PDF直接ダウンロードは404のため保存なし。重量は未照合。"
"127","4355","トヨタ","ハリアー","80系 (2020-)","Z PHEV","4WD","CVT","照合項目一致","全長mm=4740 / 全幅mm=1855 / 全高mm=1660","","https://toyota.jp/pages/contents/harrier/004_p_001/pdf/harrier_spec_202310.pdf","Web取得内容で寸法照合。PDF直接ダウンロードは404のため保存なし。重量は未照合。"
"128","4373","トヨタ","ヤリスクロス","初代 (2020-)","G 1.5L ガソリン","4WD","CVT","誤り確認","全長mm=4180 / 全幅mm=1765 / 全高mm=1590 / 車両重量kg=1210","車両重量kg: 1180 -> 1210","https://toyota.jp/ucar/catalog/brand-TOYOTA/car-YARIS_CROSS/202008/10130869/","2020年ガソリンG 4WD、登録1180kgとの差。"
"129","4381","トヨタ","ヤリスクロス","初代 (2020-)","Z HV E-Four","4WD","CVT","誤り確認","全長mm=4180 / 全幅mm=1765 / 全高mm=1590 / 車両重量kg=1270","車両重量kg: 1260 -> 1270","https://toyota.jp/ucar/catalog/brand-TOYOTA/car-YARIS_CROSS/202008/10130861/","2020年HYBRID Z E-Four、登録1260kgとの差。"
"130","4570","ホンダ","ステップワゴン","6代目 RP6/RP7/RP8 (2022-)","AIR 1.5T","2WD","CVT","照合項目一致","全長mm=4800 / 全幅mm=1750 / 全高mm=1840 / 車両重量kg=1710","","https://www.honda.co.jp/factbook/auto/STEPWGN/220526/P34.pdf","2022年発売時7人乗り標準仕様。現行AIR EXとは異なる。"
"131","4571","ホンダ","ステップワゴン","6代目 RP6/RP7/RP8 (2022-)","AIR 1.5T","4WD","CVT","照合項目一致","全長mm=4800 / 全幅mm=1750 / 全高mm=1855 / 車両重量kg=1790","","https://www.honda.co.jp/factbook/auto/STEPWGN/220526/P34.pdf","2022年発売時7人乗り標準仕様。現行AIR EXとは異なる。"
"132","4572","ホンダ","ステップワゴン","6代目 RP6/RP7/RP8 (2022-)","e:HEV AIR","2WD","CVT","照合項目一致","全長mm=4800 / 全幅mm=1750 / 全高mm=1840 / 車両重量kg=1810","","https://www.honda.co.jp/factbook/auto/STEPWGN/220526/P34.pdf","2022年発売時7人乗り標準仕様。現行AIR EXとは異なる。"
"133","4573","ホンダ","ステップワゴン","6代目 RP6/RP7/RP8 (2022-)","SPADA 1.5T","2WD","CVT","照合項目一致","全長mm=4830 / 全幅mm=1750 / 全高mm=1840 / 車両重量kg=1740","","https://www.honda.co.jp/factbook/auto/STEPWGN/220526/P34.pdf","2022年発売時7人乗り標準仕様。現行AIR EXとは異なる。"
"134","4574","ホンダ","ステップワゴン","6代目 RP6/RP7/RP8 (2022-)","e:HEV SPADA","2WD","CVT","照合項目一致","全長mm=4830 / 全幅mm=1750 / 全高mm=1840 / 車両重量kg=1840","","https://www.honda.co.jp/factbook/auto/STEPWGN/220526/P34.pdf","2022年発売時7人乗り標準仕様。現行AIR EXとは異なる。"
"135","4575","ホンダ","ステップワゴン","6代目 RP6/RP7/RP8 (2022-)","SPADA PREMIUM LINE","2WD","CVT","照合項目一致","全長mm=4830 / 全幅mm=1750 / 全高mm=1845 / 車両重量kg=1740","","https://www.honda.co.jp/factbook/auto/STEPWGN/220526/P34.pdf","2022年発売時7人乗り標準仕様。現行AIR EXとは異なる。"
"136","4578","ホンダ","ヴェゼル","2代目 (2021-)","G 1.5L","2WD","CVT","照合項目一致","全長mm=4330 / 全幅mm=1790 / 全高mm=1580 / 車両重量kg=1250","","https://www.honda.co.jp/auto-archive/vezel/2024/common/pdf/vezel_spec_list.pdf","2024年4月改良前の仕様。現行型一括表示の改善対象。"
"137","4579","ホンダ","ヴェゼル","2代目 (2021-)","e:HEV X","2WD","CVT","照合項目一致","全長mm=4330 / 全幅mm=1790 / 全高mm=1580 / 車両重量kg=1350","","https://www.honda.co.jp/auto-archive/vezel/2024/common/pdf/vezel_spec_list.pdf","2024年4月改良前の仕様。現行型一括表示の改善対象。"
"138","4580","ホンダ","ヴェゼル","2代目 (2021-)","e:HEV Z","2WD","CVT","照合項目一致","全長mm=4330 / 全幅mm=1790 / 全高mm=1590 / 車両重量kg=1380","","https://www.honda.co.jp/auto-archive/vezel/2024/common/pdf/vezel_spec_list.pdf","2024年4月改良前の仕様。現行型一括表示の改善対象。"
"139","4581","ホンダ","ヴェゼル","2代目 (2021-)","e:HEV Z","4WD","CVT","照合項目一致","全長mm=4330 / 全幅mm=1790 / 全高mm=1590 / 車両重量kg=1450","","https://www.honda.co.jp/auto-archive/vezel/2024/common/pdf/vezel_spec_list.pdf","2024年4月改良前の仕様。現行型一括表示の改善対象。"
"140","4849","スバル","レヴォーグ レイバック","初代 (2023-)","Limited EX 1.8L","AWD","CVT","照合項目一致","全長mm=4770 / 全幅mm=1820 / 全高mm=1570 / 車両重量kg=1600","","https://www.subaru.co.jp/news/2023_10_25_154428/","標準仕様、サンルーフは+10kg。"
"141","4473","スバル","フォレスター","6代目 (2024-)","Touring","AWD","CVT","世代・グレード不整合","","","https://www.subaru.co.jp/news/2025_04_17_164724/","6代目の日本発売は2025年4月。グレードはSPORT/X-BREAK S:HEV/Premium S:HEV（EXあり）。DBのTouring/Advance/S Limitedと世代の組合せが不整合。現行型の重量1600〜1630kgも公式1640〜1780kgの範囲外。"
"142","4474","スバル","フォレスター","6代目 (2024-)","X-BREAK","AWD","CVT","世代・グレード不整合","","","https://www.subaru.co.jp/news/2025_04_17_164724/","6代目の日本発売は2025年4月。グレードはSPORT/X-BREAK S:HEV/Premium S:HEV（EXあり）。DBのTouring/Advance/S Limitedと世代の組合せが不整合。現行型の重量1600〜1630kgも公式1640〜1780kgの範囲外。"
"143","4475","スバル","フォレスター","6代目 (2024-)","Advance","AWD","CVT","世代・グレード不整合","","","https://www.subaru.co.jp/news/2025_04_17_164724/","6代目の日本発売は2025年4月。グレードはSPORT/X-BREAK S:HEV/Premium S:HEV（EXあり）。DBのTouring/Advance/S Limitedと世代の組合せが不整合。現行型の重量1600〜1630kgも公式1640〜1780kgの範囲外。"
"144","4476","スバル","フォレスター","6代目 (2024-)","S Limited","AWD","CVT","世代・グレード不整合","","","https://www.subaru.co.jp/news/2025_04_17_164724/","6代目の日本発売は2025年4月。グレードはSPORT/X-BREAK S:HEV/Premium S:HEV（EXあり）。DBのTouring/Advance/S Limitedと世代の組合せが不整合。現行型の重量1600〜1630kgも公式1640〜1780kgの範囲外。"
"145","4859","スズキ","スペーシア","3代目 MK系 (2023-)","カスタム HYBRID GS ターボ","2WD","CVT","世代・グレード不整合","","","https://www.suzuki.co.jp/release/a/2023/1109/","3代目カスタムにHYBRID GS ターボはない。GSはNA、ターボはXSターボ。どちらか確定後に重量も修正。"
"146","4564","ホンダ","CR-V","6代目 (2024-)","e:HEV RS","2WD","CVT","世代・グレード不整合","","","https://global.honda/jp/news/2026/4260226-cr-v.html","登録データは2026年国内e:HEVと一致するが、2024年開始と表示。2024年の国内CR-V e:FCEVと混同させない。"
"147","4565","ホンダ","CR-V","6代目 (2024-)","e:HEV RS","4WD","CVT","世代・グレード不整合","","","https://global.honda/jp/news/2026/4260226-cr-v.html","登録データは2026年国内e:HEVと一致するが、2024年開始と表示。2024年の国内CR-V e:FCEVと混同させない。"
"148","4650","フェラーリ","プロサングエ","初代 (2023-)","Purosangue V12","AWD","8AT","照合項目一致","全長mm=4973 / 全幅mm=2028 / 全高mm=1589","","https://cdn.ferrari.com/cms/network/media/pdf/CS_Ferrari_Purosangue_EN.pdf","メーカー国際公表寸法との照合。日本の届出仕様の確認は別途必要。"
"149","4650","フェラーリ","プロサングエ","初代 (2023-)","Purosangue V12","AWD","8AT","重量種別不適切","","","https://cdn.ferrari.com/cms/network/media/pdf/CS_Ferrari_Purosangue_EN.pdf","登録重量2033kgはメーカーの乾燥重量。日本の車両重量と同一扱いで駐車場判定する根拠がない。補正値を推測せず車両重量を再取得。"
"150","4663","ランボルギーニ","レヴエルト","初代 (2024-)","レヴエルト","AWD","8DCT","照合項目一致","全長mm=4947 / 全幅mm=2033 / 全高mm=1160","","https://www.lamborghini.com/sites/it-en/files/DAM/lamborghini/facelift_2019/model_detail/revuelto/2024/brochure/07_23/REVUELTO_DIGITAL_BROCHURE_EN_2024.pdf","メーカー国際公表寸法との照合。日本の届出仕様の確認は別途必要。"
"151","4663","ランボルギーニ","レヴエルト","初代 (2024-)","レヴエルト","AWD","8DCT","重量種別不適切","","","https://www.lamborghini.com/sites/it-en/files/DAM/lamborghini/facelift_2019/model_detail/revuelto/2024/brochure/07_23/REVUELTO_DIGITAL_BROCHURE_EN_2024.pdf","登録重量1772kgはメーカーの乾燥重量。日本の車両重量と同一扱いで駐車場判定する根拠がない。補正値を推測せず車両重量を再取得。"
"152","4667","ランボルギーニ","ウラカン","EVO (2019-2024)","テクニカ","RWD","7DCT","照合項目一致","全長mm=4567 / 全幅mm=1933 / 全高mm=1165","","https://www.lamborghini.com/sites/it-en/files/DAM/lamborghini/facelift_2019/model_detail/huracan/tecnica/2024/07_22_brochure/Lamborghini%20Hurac%C3%A1n%20Tecnica_ES_WCAG.pdf","メーカー国際公表寸法との照合。日本の届出仕様の確認は別途必要。"
"153","4667","ランボルギーニ","ウラカン","EVO (2019-2024)","テクニカ","RWD","7DCT","重量種別不適切","","","https://www.lamborghini.com/sites/it-en/files/DAM/lamborghini/facelift_2019/model_detail/huracan/tecnica/2024/07_22_brochure/Lamborghini%20Hurac%C3%A1n%20Tecnica_ES_WCAG.pdf","登録重量1379kgはメーカーの乾燥重量。日本の車両重量と同一扱いで駐車場判定する根拠がない。補正値を推測せず車両重量を再取得。"
"154","4668","ランボルギーニ","テメラリオ","初代 (2025-)","テメラリオ","AWD","8DCT","照合項目一致","全長mm=4706 / 全幅mm=1996 / 全高mm=1201","","https://www.lamborghini.com/en-en/news/lamborghini-temerario-authentic-fuoriclasse","メーカー国際公表寸法との照合。日本の届出仕様の確認は別途必要。"
"155","4668","ランボルギーニ","テメラリオ","初代 (2025-)","テメラリオ","AWD","8DCT","重量種別不適切","","","https://www.lamborghini.com/en-en/news/lamborghini-temerario-authentic-fuoriclasse","登録重量1690kgはメーカーの乾燥重量。日本の車両重量と同一扱いで駐車場判定する根拠がない。補正値を推測せず車両重量を再取得。"
"156","4687","フェラーリ","12チリンドリ","初代 (2024-)","12チリンドリ","RWD","8DCT","照合項目一致","全長mm=4733 / 全幅mm=2176 / 全高mm=1292","","https://www.ferrari.com/content/dam/ferrari-fcom/old/pdf/CS_Ferrari_12Cilindri_gbr.pdf","メーカー国際公表寸法との照合。日本の届出仕様の確認は別途必要。"
"157","4687","フェラーリ","12チリンドリ","初代 (2024-)","12チリンドリ","RWD","8DCT","重量種別不適切","","","https://www.ferrari.com/content/dam/ferrari-fcom/old/pdf/CS_Ferrari_12Cilindri_gbr.pdf","登録重量1560kgはメーカーの乾燥重量。日本の車両重量と同一扱いで駐車場判定する根拠がない。補正値を推測せず車両重量を再取得。"
"158","4498","レクサス","NX","2代目 (2021-)","NX450h+ PHEV","AWD","CVT","条件注記不足","","","https://cpo.lexus.jp/resource/pdf/nx_202110.pdf","NX450h+の1990kgは18インチ選択時の値。標準20インチは2010kg。装備条件を明示する必要あり。"
"159","5026","スバル","インプレッサ","GU系 (2023-)","ST FF","2WD","CVT","条件注記不足","","","https://www.subaru.co.jp/pdf/news/2023_0420_1_2023-04-19-132902.pdf","高さ1450mmはルーフアンテナを倒した場合の公式発表値。シャークフィンでは+30mm。アンテナ条件の表示がない。"
"160","5027","スバル","インプレッサ","GU系 (2023-)","ST AWD","4WD","CVT","条件注記不足","","","https://www.subaru.co.jp/pdf/news/2023_0420_1_2023-04-19-132902.pdf","高さ1450mmはルーフアンテナを倒した場合の公式発表値。シャークフィンでは+30mm。アンテナ条件の表示がない。"
"161","4618","スズキ","ジムニー","4代目 JB64W (2018-)","XC","4WD","4AT","照合項目一致","全長mm=3395 / 全幅mm=1475 / 全高mm=1725 / 車両重量kg=1040","","https://www.suzuki.co.jp/suzuki_digital_library/pdf/1_auto/jimny/140.pdf","2018年7月仕様。全高はルーフアンテナを折り畳んだ状態。"
"162","4619","スズキ","ジムニー","4代目 JB64W (2018-)","XC","4WD","5MT","誤り確認","全長mm=3395 / 全幅mm=1475 / 全高mm=1725 / 車両重量kg=1030","車両重量kg: 1040 -> 1030","https://www.suzuki.co.jp/suzuki_digital_library/pdf/1_auto/jimny/140.pdf","2018年7月仕様。全高はルーフアンテナを折り畳んだ状態。"
"163","4618","スズキ","ジムニー","4代目 JB64W (2018-)","XC","4WD","4AT","条件注記不足","","","https://www.suzuki.co.jp/suzuki_digital_library/pdf/1_auto/jimny/140.pdf","全高1,725mmはルーフアンテナ格納時。"
"164","4619","スズキ","ジムニー","4代目 JB64W (2018-)","XC","4WD","5MT","条件注記不足","","","https://www.suzuki.co.jp/suzuki_digital_library/pdf/1_auto/jimny/140.pdf","全高1,725mmはルーフアンテナ格納時。"
"165","4419","ホンダ","フリード","3代目 (2024-)","AIR","4WD","CVT","誤り確認","車両重量kg=1460","車両重量kg: 1440 -> 1460","https://www.honda.co.jp/factbook/auto/FREED/202406/4240627-freed.pdf","2024年発売時 AIR 4WD 6人乗り。"
"166","4421","ホンダ","フリード","3代目 (2024-)","AIR EX","4WD","CVT","誤り確認","車両重量kg=1470","車両重量kg: 1450 -> 1470","https://www.honda.co.jp/factbook/auto/FREED/202406/4240627-freed.pdf","2024年発売時 AIR EX 4WD 6人乗り。"
"167","4428","ホンダ","フリード","3代目 (2024-)","e:HEV CROSSTAR","2WD","CVT","誤り確認","","","https://www.honda.co.jp/factbook/auto/FREED/202406/4240627-freed.pdf","e:HEV CROSSTAR FFは5人乗り1,480kg、6人乗り1,490kg。DB1,440kgはどちらよりも軽い。乗車定員を特定して修正する。"
"168","4429","ホンダ","フリード","3代目 (2024-)","e:HEV CROSSTAR","4WD","CVT","誤り確認","","","https://www.honda.co.jp/factbook/auto/FREED/202406/4240627-freed.pdf","e:HEV CROSSTAR 4WDは5人乗り1,560kg、6人乗り1,580kg。DB1,520kgはどちらよりも軽い。乗車定員を特定して修正する。"
"169","4383","トヨタ","プリウス","60系 5代目 (2023-)","G HV","2WD","CVT","照合項目一致","全長mm=4600 / 全幅mm=1780","","https://toyota.jp/pages/contents/carlineup/archive/prius/2024-03/pdf/prius_main_s_202403.pdf","2024年3月カタログ。G/Zはタイヤ選択による全高・重量の変化あり。"
"170","4384","トヨタ","プリウス","60系 5代目 (2023-)","G HV","4WD","CVT","照合項目一致","全長mm=4600 / 全幅mm=1780","","https://toyota.jp/pages/contents/carlineup/archive/prius/2024-03/pdf/prius_main_s_202403.pdf","2024年3月カタログ。G/Zはタイヤ選択による全高・重量の変化あり。"
"171","4385","トヨタ","プリウス","60系 5代目 (2023-)","Z HV","2WD","CVT","照合項目一致","全長mm=4600 / 全幅mm=1780","","https://toyota.jp/pages/contents/carlineup/archive/prius/2024-03/pdf/prius_main_s_202403.pdf","2024年3月カタログ。G/Zはタイヤ選択による全高・重量の変化あり。"
"172","4386","トヨタ","プリウス","60系 5代目 (2023-)","Z PHEV","2WD","CVT","照合項目一致","全長mm=4600 / 全幅mm=1780","","https://toyota.jp/pages/contents/carlineup/archive/prius/2024-03/pdf/prius_main_s_202403.pdf","2024年3月カタログ。G/Zはタイヤ選択による全高・重量の変化あり。"
"173","4383","トヨタ","プリウス","60系 5代目 (2023-)","G HV","2WD","CVT","誤り確認","","","https://toyota.jp/pages/contents/carlineup/archive/prius/2024-03/pdf/prius_main_s_202403.pdf","G HEV 2WD標準は全高1,430mm・1,400kg。17インチ仕様は全高1,420mm・1,380kg。DB1,360kgはUの値で、Gのいずれのタイヤ仕様とも一致しない。"
"174","4384","トヨタ","プリウス","60系 5代目 (2023-)","G HV","4WD","CVT","誤り確認","","","https://toyota.jp/pages/contents/carlineup/archive/prius/2024-03/pdf/prius_main_s_202403.pdf","G HEV E-Four標準は全高1,430mm・1,460kg。17インチ仕様は全高1,420mm・1,440kg。DB1,420kgはUの値で、Gのいずれのタイヤ仕様とも一致しない。"
"175","4385","トヨタ","プリウス","60系 5代目 (2023-)","Z HV","2WD","CVT","条件注記不足","","","https://toyota.jp/pages/contents/carlineup/archive/prius/2024-03/pdf/prius_main_s_202403.pdf","Z HEV 2WD標準は全高1,430mm・1,420kg、17インチ仕様は1,420mm・1,400kg。DBは全高1,430mm・1,400kgでタイヤ条件が混在。"
"176","4386","トヨタ","プリウス","60系 5代目 (2023-)","Z PHEV","2WD","CVT","照合項目一致","全高mm=1430 / 車両重量kg=1570","","https://toyota.jp/pages/contents/carlineup/archive/prius/2024-03/pdf/prius_main_s_202403.pdf","Z PHEV標準19インチ仕様。"
"177","4582","ホンダ","WR-V","初代 (2024-)","X","2WD","CVT","照合項目一致","全長mm=4325 / 全幅mm=1790 / 全高mm=1650 / 車両重量kg=1210","","https://www.honda.co.jp/WR-V/common/pdf/wrv_spec_list.pdf","X/Zの標準仕様。"
"178","4583","ホンダ","WR-V","初代 (2024-)","Z","2WD","CVT","照合項目一致","全長mm=4325 / 全幅mm=1790 / 全高mm=1650 / 車両重量kg=1230","","https://www.honda.co.jp/WR-V/common/pdf/wrv_spec_list.pdf","X/Zの標準仕様。"
"179","4566","ホンダ","ZR-V","初代 (2023-)","X 1.5T","2WD","CVT","照合項目一致","全長mm=4570 / 全幅mm=1840 / 全高mm=1620","","https://www.honda.co.jp/auto-archive/zr-v/2026/common/pdf/zrv_spec_list.pdf","2026年改良前のカタログ。X FFの重量はメーカーオプション条件を要確認。"
"180","4567","ホンダ","ZR-V","初代 (2023-)","Z 1.5T","2WD","CVT","照合項目一致","全長mm=4570 / 全幅mm=1840 / 全高mm=1620 / 車両重量kg=1490","","https://www.honda.co.jp/auto-archive/zr-v/2026/common/pdf/zrv_spec_list.pdf","2026年改良前のカタログ。X FFの重量はメーカーオプション条件を要確認。"
"181","4568","ホンダ","ZR-V","初代 (2023-)","e:HEV Z","2WD","CVT","照合項目一致","全長mm=4570 / 全幅mm=1840 / 全高mm=1620 / 車両重量kg=1580","","https://www.honda.co.jp/auto-archive/zr-v/2026/common/pdf/zrv_spec_list.pdf","2026年改良前のカタログ。X FFの重量はメーカーオプション条件を要確認。"
"182","4569","ホンダ","ZR-V","初代 (2023-)","e:HEV Z","4WD","CVT","照合項目一致","全長mm=4570 / 全幅mm=1840 / 全高mm=1620 / 車両重量kg=1630","","https://www.honda.co.jp/auto-archive/zr-v/2026/common/pdf/zrv_spec_list.pdf","2026年改良前のカタログ。X FFの重量はメーカーオプション条件を要確認。"
